"entity_ID","geo_entity","longitude","latitude","area","dist","age_Ma","geology","spec_num","end_num","max_elev","mean_temp","mean_prec","mean_homogeneity"
576,"Chirinkotan",153.485986,48.980476,5.979,308.21,12.809,"volcanic",32,0,509,2.321,1380,0.112
601,"Nayau",-179.052408,-17.978322,19.3412,2989.745,12.7,"volcanic",161,0,168,25.6,1855,0.2364
602,"Lakeba",-178.789865,-18.211093,62.1058,3003.107,8.5,"volcanic",162,0,187,25.27,1993,0.2468
607,"Bird",55.205487,-3.720209,1.035,1204.85,NA,"floor",59,0,5,27.1,2077,NA
608,"Conception",55.365992,-4.663767,0.7037,1289.517,NA,"fragment",48,0,NA,26.85,2326,0.0892
609,"Cousin",55.662858,-4.331231,0.434,1288.789,NA,"fragment",66,0,NA,27,2226,NA
610,"Curieuse",55.725234,-4.282818,3.3493,1288.931,NA,"fragment",110,0,4,26.92,2239,0.1768
611,"Denis",55.666641,-3.805835,1.6738,1248.281,NA,"floor",69,0,2,27.08,2163,0.1517
612,"Felicite",55.874865,-4.328061,2.884,1304.36,NA,"fragment",109,0,104,26.86,2378,0.1605
613,"Grande Soeur",55.869106,-4.289915,0.8894,1301.506,NA,"fragment",56,0,NA,27.02,2262,0.2229
